company,address,zip_code,sqm,title,url,id,found_at,filter_status
gewobag,"Zillertalstr. 59, 13187 Berlin/Pankow",13187.0,71.61,Hochparterre mit Dielenboden,https://www.gewobag.de/fuer-mieter-und-mietinteressenten/mietangebote/0100-02550-0102-0022/,0100%2F02550%2F0102%2F0022,2022-11-21 15:54:02.708437,OK
adler,Kolberger Str. 14 (Wedding (Wedding)),13357.0,49.94,2-Zimmer-Wohnung auf 49m&sup2;,https://www.adler-group.com/expose/137999146?cHash=5f5b3a2ac008ba916c980dab649f6fcc,137999146,2022-11-21 16:04:35.928218,OK
adler,Luise-Zietz-Str. 107 (Marzahn (Marzahn)),12681.0,47.45,SELBSTGESTALTER aufgepasst - gem&uuml;tliche 2-Zimmer-Whg auf 47 m&sup2; mit Balkon,https://www.adler-group.com/expose/138002160?cHash=699214ba12c9fc636fa80ac5625e5003,138002160,2022-11-21 16:50:42.648609,ZIP_NOT_WHITELISTED
gewobag,"Schwielowseestr. 38, 13599 Berlin/Haselhorst",13599,88.09,Schickes Dachgeschoss mit Wasserblick sucht netten Nachmieter ab Februar,https://www.gewobag.de/fuer-mieter-und-mietinteressenten/mietangebote/0100-01032-0501-0117/,0100%2F01032%2F0501%2F0117,2022-11-21 21:01:16.671064,ZIP_NOT_WHITELISTED
gewobag,"Nogatstraße 23, 12051 Berlin/Neukölln",12051,39.8,WBS erforderlich. Für Singles im Körner-Kiez,https://www.gewobag.de/fuer-mieter-und-mietinteressenten/mietangebote/1000-00602-0102-0039/,1000%2F00602%2F0102%2F0039,2022-11-22 08:46:12.794742,WBS_REQUIRED
degewo,Walter-Franck-Zeile 9 | Neukölln,12353,67.75,2-Zimmerwohnung - mit WBS!,https://immosuche.degewo.de/de/properties/W1140-00649-0123-0401,W1140.00649.0123-0401,2022-11-22 12:11:26.802754,WBS_REQUIRED
degewo,Osloer Straße 105B | Mitte,13359,77.52,Wohnung im Erdgeschoss mit großer Küche für WBS Inhaber!,https://immosuche.degewo.de/de/properties/W1500-00784-0085-0102,W1500.00784.0085-0102,2022-11-22 13:00:08.659006,WBS_REQUIRED
gewobag,"Strünckweg 9, 13627 Berlin/Charlottenburg",13627,61.32,"Gepflegte 2 Zimmerwohnung im EG, WBS für 2 Räume erforderlich, frei ab sofort",https://www.gewobag.de/fuer-mieter-und-mietinteressenten/mietangebote/0100-01609-1302-0473/,0100%2F01609%2F1302%2F0473,2022-11-22 15:02:08.102788,WBS_REQUIRED
gewobag,"Klausingring 15, 13627 Berlin/Charlottenburg",13627,77.16,"Gepflegte 3 Zimmerwohnung im 1.OG, WBS 100 für 3 Räume erforderlich, frei ab sofort",https://www.gewobag.de/fuer-mieter-und-mietinteressenten/mietangebote/0100-01607-0201-0048/,0100%2F01607%2F0201%2F0048,2022-11-22 15:02:08.103771,WBS_REQUIRED
gewobag,"Heilmannring 26A, 13627 Berlin/Charlottenburg",13627,53.12,"Renovierungsbedürftige 2 Zimmerwohnung im 1.OG, WBS100  für 2 Räume erforderlich, frei ab sofort",https://www.gewobag.de/fuer-mieter-und-mietinteressenten/mietangebote/0100-01602-1002-0340/,0100%2F01602%2F1002%2F0340,2022-11-22 15:02:08.104736,WBS_REQUIRED
